gene,control,treated,log2(fold_change)
EPN3,0.00797026,0.0181737,1.18915
SPATA20,1.39179,3.19813,1.20029
CACNA1G,0.0119067,0.187319,3.97565
ABCC3,0,0.0440471,1.79769e+308
LUC7L3,150.639,136.907,-0.137897
WFIKKN2,0.00835676,0,-1.79769e+308
LOC400604,1.46874,1.86388,0.34373
"NME1,NME1-NME2,NME2",1990.82,1415.61,-0.491936
UTP18,46.7425,35.9465,-0.378884
LOC100506650,0,0,0
KIF2B,0,0,0
TOM1L1,14.9727,15.7998,0.0775651
STXBP4,1.21348,1.92028,0.662169
HLF,0.118425,0.666072,2.4917
PCTP,4.524,7.37924,0.705874
ANKFN1,0.00665606,0.0545642,3.03521
NOG,0.0174801,0.389676,4.47849
DGKE,7.96886,7.82489,-0.0263027
SCPEP1,46.1638,57.1139,0.30708
RNF126P1,0,0.0119601,1.79769e+308
AKAP1,37.798,35.4041,-0.0943929
MSI2,35.5361,37.1778,0.0651564
DYNLL2,35.3035,36.3237,0.0410995
OR4D1,0,0,0
MSX2P1,0,0.0206198,1.79769e+308
OR4D2,0,0,0
EPX,0,0.0268379,1.79769e+308
LPO,0,0.0213607,1.79769e+308
LOC100506779,2.75417,2.36973,-0.216895
RAD51C,63.1291,56.3165,-0.164746
PPM1E,0.0258274,0.317235,3.61858
PRR11,18.4241,18.3351,-0.00698609
SMG8,15.9543,12.9081,-0.305674
GDPD1,1.18353,3.07371,1.37688
YPEL2,3.24688,6.74278,1.05429
MIR4729,0,0,0
DHX40,20.2599,29.2179,0.528226
CLTC,99.8912,104.987,0.0717786
VMP1,53.3474,46.3313,-0.203431
MIR21,0,0,0
RPS6KB1,14.2281,13.1353,-0.115299
CA4,0,0.223548,1.79769e+308
C17orf64,0,0.0174421,1.79769e+308
PPM1D,7.02051,7.61148,0.116601
BCAS3,2.87485,5.03032,0.807165
TBX2,0.61147,0.651145,0.0906953
C17orf82,0,0,0
TBX4,0,0,0
EFCAB3,0.142747,0.249499,0.805578
METTL2A,9.36235,8.65403,-0.113499
TLK2,8.83453,9.44657,0.0966367
MRC2,0.0564881,1.04522,4.20972
MIR548W,0,0,0
TANC2,3.38218,6.83983,1.01601
ACE,0.121707,0.402963,1.72724
KCNH6,0,0.0581659,1.79769e+308
DCAF7,23.4284,25.0425,0.0961241
TACO1,23.5475,18.8182,-0.323439
MAP3K3,7.95968,10.3539,0.379393
LOC729683,0.710314,2.23593,1.65435
DDX42,42.7555,39.0847,-0.129506
PSMC5,166.144,126.79,-0.39
TCAM1P,0,0,0
C17orf72,1.69525,1.95366,0.204678
SNORD104,0,0,0
SNORA76,76.2115,54.8662,-0.474091
MILR1,15.2905,27.6651,0.855427
CEP95,11.383,11.3325,-0.00640977
RGS9,0.173408,3.27728,4.24026
PRKCA,0.314332,1.53658,2.28936
MIR634,0,0,0
CACNG5,0,0.328246,1.79769e+308
CACNG4,12.0455,22.7119,0.914958
CACNG1,0.0131736,0.143521,3.44554
PITPNC1,9.96984,11.5615,0.213684
NOL11,60.289,41.4435,-0.540749
SNORA38B,9.22578,0,-1.79769e+308
BPTF,12.9371,13.4722,0.0584691
KPNA2,136.138,112.643,-0.273306
LOC100499466,4.26616,6.14859,0.527319
LOC440461,0.0307026,0.130272,2.08509
AMZ2,44.6452,56.5362,0.340672
ARSG,2.19031,3.33139,0.604987
PRKAR1A,49.0308,65.1405,0.409866
MAP2K6,0.620167,3.37748,2.44522
KCNJ16,0,0,0
KCNJ2,0,0.00784889,1.79769e+308
SOX9,0.0397768,0.580474,3.86723
SSTR2,0.0805021,0.562527,2.80482
COG1,9.08483,7.98944,-0.185364
C17orf80,11.643,11.8174,0.0214567
LOC400620,0,0,0
RPL38,1652.08,1619.74,-0.0285206
TTYH2,3.75132,7.19113,0.93882
DNAI2,0.00725858,0.0264386,1.86489
KIF19,0.263066,0.861268,1.71104
GPR142,0.0123958,0.157617,3.66849
GPRC5C,1.28626,5.45327,2.08394
CD300A,43.1731,43.0033,-0.00568515
C17orf77,0.0127486,0.150978,3.56593
RAB37,0.251631,2.24228,3.15559
"MIR3615,SLC9A3R1",44.5422,66.1359,0.57026
TMEM104,4.8844,6.50746,0.413913
OTOP2,0,0.0346108,1.79769e+308
OTOP3,0,0.00845083,1.79769e+308
CDR2L,3.49218,6.47843,0.891516
ICT1,41.8002,31.7591,-0.39634
KCTD2,10.6889,12.0242,0.169816
SLC16A5,0.00857415,0.0780228,3.18583
ARMC7,6.86701,7.42756,0.113207
NUP85,27.1837,20.3257,-0.419439
MRPS7,62.9556,42.5163,-0.566318
LOC100287042,1.45388,1.21721,-0.256339
MIR3678,0,0,0
KIAA0195,7.85783,12.2258,0.637731
TSEN54,19.2943,22.9701,0.251579
LLGL2,7.01606,12.0093,0.775419
MYO15B,0.00809772,0.0532256,2.71653
C17orf109,0.139851,0.171953,0.298117
C17orf110,0.0930868,0.0630486,-0.562112
SAP30BP,16.8458,14.4787,-0.218462
ITGB4,0.256572,0.685771,1.41836
UNK,13.2263,9.839,-0.42683
"CDK3,TEN1,TEN1-CDK3",15.213,8.41743,-0.853852
GALR2,0.81805,0.876518,0.0995939
ZACN,0.173907,0.11587,-0.585816
LOC100507218,0,0,0
FAM100B,27.6546,31.0616,0.167614
SPHK1,3.58439,6.52151,0.863478
AANAT,0.298283,0.172849,-0.78717
PRCD,0,0.00722312,1.79769e+308
LOC100507246,26.1782,21.0889,-0.311881
SNORD1C,0,0,0
SNORD1B,0,0,0
SNORD1A,0,0,0
METTL23,57.4399,76.8014,0.419078
MFSD11,17.9972,19.1329,0.0882817
MGAT5B,3.40851,5.4785,0.684641
"LINC00338,SEC14L1",69.6809,83.174,0.255369
SCARNA16,11.0047,14.7776,0.425292
09/Sep,56.1901,48.8709,-0.20134
LOC100507351,0.00368742,0,-1.79769e+308
TNRC6C,1.8702,2.48542,0.410297
TMC8,22.4391,27.3489,0.285472
C17orf99,0,0.0299065,1.79769e+308
SYNGR2,154.173,160.793,0.0606531
AFMID,27.6248,28.2183,0.0306689
BIRC5,52.1975,39.9059,-0.387378
TMEM235,0,0,0
PGS1,9.63754,10.7888,0.162795
C1QTNF1,0.0722878,0.528363,2.86971
ENGASE,3.95218,6.35488,0.685217
ENPP7,0,0,0
CBX2,9.05151,13.6463,0.592281
CCDC40,0.0443707,0.273105,2.62178
GAA,3.36881,9.47292,1.49157
CARD14,0.0119906,0.0364544,1.60418
SLC26A11,1.59298,2.48992,0.644368
RNF213,2.75218,5.45025,0.985746
ENDOV,1.31108,2.85569,1.12308
MIR4730,0,0,0
RPTOR,6.40169,6.47523,0.0164792
CHMP6,13.5895,18.8791,0.474299
BAIAP2,15.4666,10.6271,-0.541412
MIR3065,0,0,0
AATK-AS1,0,0,0
C17orf89,108.375,87.0872,-0.315494
BAHCC1,0.0477461,0.178499,1.90246
FSCN2,0.144481,0.182733,0.338858
TSPAN10,0.0208988,0,-1.79769e+308
CCDC137,22.7763,15.3883,-0.565694
HGS,40.1301,37.0156,-0.116554
MRPL12,144.865,122.878,-0.237487
SLC25A10,54.3502,45.332,-0.261754
GCGR,0.0239842,0,-1.79769e+308
ANAPC11,79.9214,91.4904,0.195038
NPB,0.311762,0.186734,-0.739458
MAFG-AS1,1.12549,2.84999,1.34041
ASPSCR1,11.0726,10.4673,-0.0811158
LRRC45,8.41548,9.49099,0.173513
RAC3,18.1224,17.5034,-0.0501383
GPS1,59.2786,53.3818,-0.151165
SLC16A3,36.1164,35.4634,-0.0263246
TEX19,0.110763,0.162822,0.555818
UTS2R,0.56077,0.604832,0.109125
HEXDC,5.20503,6.36767,0.290859
NARF,43.859,41.478,-0.0805268
FOXK2,20.1063,18.6376,-0.109433
FN3KRP,26.5665,24.425,-0.121248
FN3K,0.0478332,0.0434533,-0.138545
TBCD,14.069,17.0888,0.280535
METRNL,6.48029,11.5668,0.835857
FLJ43681,0.472997,0.65152,0.461977
DOC2B,0,0.0457127,1.79769e+308
RPH3AL,1.28836,0.97467,-0.402554
FAM101B,0,0.138566,1.79769e+308
VPS53,3.98402,4.47174,0.166614
GEMIN4,16.9843,10.942,-0.634328
GLOD4,19.7695,20.9751,0.085403
NXN,0.978552,3.81601,1.96335
ABR,9.87376,11.2448,0.187583
MIR3183,0,0,0
YWHAE,300.889,228.347,-0.398003
CRK,15.354,15.1108,-0.0230323
MYO1C,12.4544,13.5215,0.118605
INPP5K,7.26693,11.7172,0.689214
PITPNA,21.9593,23.6612,0.107689
SLC43A2,13.7915,12.725,-0.116104
SCARF1,0.0599225,0.0310687,-0.947635
RILP,0.4738,0.557755,0.235352
PRPF8,61.0895,49.8824,-0.292394
TLCD2,0.0521706,0.276181,2.4043
"MIR22,MIR22HG",2.66947,6.02,0
SMYD4,3.63001,2.91149,-0.318215
RTN4RL1,0.250316,1.30981,2.38754
MIR132,0,0,0
MIR212,0,0,0
SMG6,2.98913,3.07598,0.0413209
TSR1,26.983,16.1295,-0.742346
SNORD91B,0,0,0
SNORD91A,0,0,0
MNT,5.49765,4.28587,-0.359228
LOC284009,0.535702,0.30879,-0.794807
METTL16,9.81444,7.3981,-0.407751
KIAA0664,38.1101,26.5413,-0.521934
MIR1253,0,0,0
OR1D5,0,0,0
OR1D2,0,0,0
OR1G1,0,0,0
OR3A2,0,0,0
OR3A1,0,0,0
OR1E1,0,0,0
OR1E2,0,0,0
SPATA22,0,0,0
TRPV3,0.0829795,0.365689,2.13979
"SHPK,TRPV1",7.81466,6.88067,-0.183634
"P2RX5,P2RX5-TAX1BP3,TAX1BP3",35.5423,35.4628,-0.00322989
ITGAE,2.37317,2.13014,-0.155868
C17orf85,5.09029,5.17184,0.0229318
CAMKK1,2.92143,2.89794,-0.0116476
P2RX1,0.478783,0.299349,-0.677543
ATP2A3,12.1436,16.8354,0.471309
ZZEF1,4.60554,5.31759,0.207402
ANKFY1,7.97042,8.00395,0.00605789
UBE2G1,22.1325,18.0862,-0.291276
MYBBP1A,28.6448,19.6858,-0.541114
GGT6,0,0.00578452,1.79769e+308
ALOX15,0.0298424,0.799428,4.74353
PELP1,24.3161,19.2749,-0.335189
CXCL16,9.85766,21.8152,1.14602
VMO1,0.222187,0.230388,0.0522907
CHRNE,0.0852835,0.14335,0.749206
SLC25A11,18.4437,18.8183,0.0290093
PFN1,666.338,646.852,-0.0428193
SPAG7,16.0701,9.51632,-0.755905
CAMTA2,2.06068,4.25834,1.04717
INCA1,0.331396,0.426096,0.36262
GPR172B,0.00679209,0.167285,4.62231
ZNF232,5.99715,8.37885,0.482475
ZNF594,1.78604,2.71417,0.603748
SCIMP,0,0,0
NUP88,34.9134,26.2799,-0.40982
C1QBP,200.478,119.522,-0.746174
DHX33,19.8927,16.2577,-0.291118
DERL2,28.3648,25.5871,-0.148686
LOC728392,1.95096,2.19787,0.17192
NLRP1,6.51418,8.50162,0.384156
AIPL1,0,0,0
PITPNM3,0.04933,0.164756,1.73979
KIAA0753,2.15718,2.92656,0.440062
MED31,5.3457,5.53394,0.0499257
MIR4520A,0,0,0
SLC13A5,0,0.078108,1.79769e+308
TEKT1,0,0.0220788,1.79769e+308
LOC100506713,2.31036,3.49199,0.595931
MIR497HG,0.14735,0.232711,0.659296
MIR195,0,0,0
MIR497,0,0,0
SLC16A11,0.0276637,0.0587187,1.08583
CLEC10A,0,0,0
ASGR2,0,0.0133161,1.79769e+308
ASGR1,0,0.0507883,1.79769e+308
DLG4,0.197121,0.43742,1.14994
MIR324,0,0,0
DVL2,11.7112,13.4453,0.199214
PHF23,13.6617,13.5275,-0.0142386
GABARAP,149.14,203.76,0.450202
CTDNEP1,51.501,48.8064,-0.0775286
CLDN7,1.28595,2.94456,1.19522
YBX2,0.0320216,0.155244,2.27742
GPS2,58.2104,64.0729,0.138437
NEURL4,6.43224,4.91742,-0.38742
"C17orf61,C17orf61-PLSCR3,PLSCR3",72.9347,110.297,0.596717
ZBTB4,2.14751,2.84193,0.404207
SOX15,0.197571,0.0785376,-1.33092
FXR2,10.9489,13.5793,0.310625
SAT2,6.60342,13.0663,0.984561
TP53,10.5655,9.05363,-0.222788
LSMD1,18.9693,25.0805,0.402903
LOC284023,1.01351,1.42849,0.495125
KCNAB3,0.513822,0.886571,0.786968
TRAPPC1,99.3685,147.688,0.571697
ALOX12B,0.0515008,0.17593,1.77234
ALOXE3,0.0653892,0.309095,2.24093
HES7,0.877123,2.7463,1.64664
PER1,4.4233,6.34839,0.521267
VAMP2,13.812,18.6693,0.434748
TMEM107,5.15773,8.86306,0.781069
C17orf59,7.04969,12.4136,0.816291
AURKB,35.493,29.3586,-0.273749
LINC00324,0.250065,0.569099,1.18638
CTC1,5.31268,6.60304,0.313691
SLC25A35,0.606103,1.06098,0.807763
LOC100128288,0.153474,0.314373,1.03448
KRBA2,0.44446,0.824236,0.891004
RPL26,1438.37,1464.97,0.0264287
RNF222,0,0.0188749,1.79769e+308
MYH10,3.89043,8.54414,1.13501
CCDC42,0.690498,0.932555,0.433552
SPDYE4,0,0,0
MFSD6L,0.0290357,0.00660982,-2.13515
PIK3R6,0.0104477,0.0428544,2.03625
PIK3R5,4.4774,7.18995,0.683319
STX8,14.6278,21.5731,0.560525
DHRS7C,0,0.0165261,1.79769e+308
RCVRN,0,0.0136772,1.79769e+308
GAS7,8.87896,10.0817,0.18327
MYH13,0.0154058,0.0421839,1.45322
MYH8,0.0152847,0.125558,3.03819
MYH4,0,0.00233432,1.79769e+308
MYH1,0.00255532,0.0164234,2.68418
MYH2,0.0113703,0.0174411,0.617222
MYH3,0.27003,0.325521,0.269631
SCO1,17.5735,15.1018,-0.218686
TMEM220,0.0718253,0.0748257,0.0590401
LOC100289255,0,0,0
PIRT,0,0,0
ZNF18,1.27083,2.02133,0.66953
ELAC2,33.1866,28.1619,-0.236859
HS3ST3A1,0.00318442,0.0466225,3.87192
CDRT15,0.156675,0.0351054,-2.15801
PMP22,2.51392,7.21857,1.52177
MIR4731,0,0,0
TEKT3,1.0264,1.80788,0.816704
"CDRT4,FAM18B2,FAM18B2-CDRT4",2.18542,2.95999,0.437681
CDRT1,0.0726144,0.130202,0.84243
TRIM16,2.70175,4.88714,0.855095
ZSWIM7,2.69734,4.37209,0.696785
NCOR1,14.3715,15.3048,0.0907718
CENPV,1.99761,2.28193,0.191979
FAM211A,0.0541236,0.15184,1.48822
ZNF287,0.0327893,0.302438,3.20534
ZNF624,0.198384,0.459127,1.2106
KRT16P2,0.0772947,0.0759436,-0.025442
TNFRSF13B,85.9623,84.1041,-0.031527
PLD6,6.99638,4.113,-0.766417
FLCN,5.79868,5.83129,0.0080897
COPS3,55.9739,41.1918,-0.442398
RASD1,0,0.0745156,1.79769e+308
PEMT,22.9546,15.8281,-0.536298
SMCR5,0.016828,0.0204474,0.281059
SREBF1,82.5149,88.056,0.093767
MIR33B,0,0,0
TOM1L2,6.70777,10.6474,0.666597
ATPAF2,9.39884,9.83253,0.0650796
FLII,54.6117,49.2988,-0.147658
TOP3A,18.0834,15.2805,-0.242977
SHMT1,21.1129,19.6948,-0.100306
USP32P2,1.54852,3.72786,1.26746
FAM106A,0.306024,0.680494,1.15294
CCDC144B,1.05462,2.67082,1.34056
TBC1D28,0.016641,0.0151448,-0.135915
"FOXO3B,ZNF286B",3.81585,4.79525,0.329601
FAM83G,4.61289,3.7207,-0.310097
GRAP,2.38951,2.20905,-0.113289
B9D1,13.3471,16.2337,0.282465
MIR1180,0,0,0
MFAP4,0.00896635,0.00816263,-0.135486
SLC47A2,0,0.00658712,1.79769e+308
ALDH3A1,0.00939202,0.0384539,2.03362
ULK2,0.466026,0.931509,0.999159
AKAP10,7.30161,7.0678,-0.0469532
LGALS9B,0.211884,0.512125,1.27322
KRT16P3,0.19952,0.258266,0.372321
CCDC144NL,0.130882,0.203976,0.640134
USP22,39.6656,32.9131,-0.269223
TMEM11,14.467,10.5196,-0.45968
C17orf103,0.427889,2.07333,2.27664
C17orf51,1.09596,1.39702,0.350147
MIR4522,0,0,0
NOS2,0,0.0270633,1.79769e+308
C17orf108,0.0115149,0.272034,4.56221
KRT18P55,0.0591682,0.0615371,0.0566343
IFT20,12.322,23.7662,0.947668
POLDIP2,73.3867,63.1661,-0.216368
SEBOX,0,0,0
VTN,0.0600044,0.0818454,0.447832
SLC46A1,3.51176,3.33526,-0.0743952
UNC119,3.1202,5.49634,0.816832
PIGS,36.5153,37.4858,0.0378427
ALDOC,61.0086,72.0374,0.239734
SPAG5,47.3966,32.7417,-0.533653
SGK494,5.11205,3.78803,-0.432455
KIAA0100,45.728,43.2771,-0.0794742
SDF2,24.0954,26.9786,0.163059
PROCA1,0.0843334,0.267858,1.6673
RAB34,0.108995,0.154799,0.50614
TLCD1,9.31957,5.50488,-0.759552
C17orf63,4.95734,5.85277,0.239555
MIR451A,0,0,0
MIR144,0,0,0
MIR4732,0,0,0
FLOT2,40.4978,49.8988,0.301162
DHRS13,8.61111,7.60905,-0.178484
PHF12,10.555,11.2469,0.0916038
SEZ6,0.0148691,0.0135637,-0.132576
"MYO18A,TIAF1",22.0354,28.8937,0.390928
NUFIP2,22.2409,16.6772,-0.415336
ABHD15,13.9678,12.156,-0.200434
GIT1,24.884,27.6144,0.150201
CORO6,0.0741772,0.798455,3.42816
SSH2,3.95923,4.51577,0.189752
MIR3184,0,0,0
SLC6A4,0.0102886,0.021902,1.09002
BLMH,53.5243,39.1181,-0.452357
TMIGD1,0,0.0133292,1.79769e+308
CRLF3,16.776,19.2605,0.199246
TEFM,10.5021,9.86462,-0.0903393
MIR4733,0,0,0
OMG,0.907454,1.52433,0.748283
EVI2B,64.9141,74.7506,0.203554
EVI2A,39.2377,47.6342,0.279757
C17orf79,58.5501,56.4299,-0.0532139
UTP6,53.1735,35.8989,-0.566767
ARGFXP2,0.21981,0.491919,1.16217
C17orf75,4.67213,6.28255,0.427271
MYO1D,19.5331,33.0188,0.75737
ACCN1,0.0238167,0.0752307,1.65935
AA06,0,0,0
CCL1,2.55714,3.15181,0.301649
C17orf102,0.160389,0.313993,0.969158
CCT6B,5.65719,7.69479,0.443795
"RAD51D,RAD51L3-RFFL,RFFL",20.8488,28.5048,0.451236
NLE1,21.5685,18.2129,-0.243969
SLC35G3,0.00883328,0,-1.79769e+308
SLFN11,0.221179,0.551073,1.31703
SLFN12,0.189415,0.431298,1.18714
SLFN13,2.46531,3.09683,0.329027
SLFN12L,0.0471564,0.291671,2.62882
SLFN14,0,0,0
PEX12,3.29592,4.17827,0.342224
GAS2L2,0.0421753,0.110521,1.38985
MMP28,0.0178619,0.0161785,-0.142803
C17orf66,0,0.015221,1.79769e+308
CCL5,9.61699,26.2966,1.45122
RDM1,0.16628,0.276958,0.736053
LYZL6,0,0,0
CCL16,0,0,0
"CCL14,CCL14-CCL15,CCL15",0.0500475,0.18143,1.85805
CCL23,0,0.0610831,1.79769e+308
CCL3,1.36949,10.7298,2.96991
TBC1D3B,0.627181,0.724889,0.20888
CCL3L1,0.0126837,0.1159,3.19183
TBC1D3C,0.968905,1.10189,0.185557
CCL3L1,0.0126837,0.0715421,2.49582
TBC1D3H,0.852508,1.06497,0.321031
TBC1D3G,0.806769,0.988683,0.293354
MYO19,23.0931,15.1386,-0.60923
ACACA,23.1179,15.0097,-0.623112
SYNRG,7.53626,10.1638,0.431519
DDX52,14.1786,13.3612,-0.0856601
HNF1B,0.0347804,0.732134,4.39576
LOC284100,0.551962,1.46045,1.40377
TBC1D3,1.29238,1.57502,0.285341
LOC440434,11.0427,13.2038,0.257867
GPR179,0.00191268,0.010478,2.45369
SRCIN1,0.0521243,0.680064,3.70564
C17orf96,20.8125,17.2096,-0.274239
MIR4734,0,0,0
PCGF2,0.961894,3.54276,1.88092
PIP4K2B,15.0959,14.7614,-0.0323323
CWC25,15.5286,13.0972,-0.245673
C17orf98,0.039272,0.0703922,0.841917
RPL23,2339.46,2250.25,-0.056088
SNORA21,0,0,0
FBXO47,0.0070462,0.0256672,1.86501
PLXDC1,0,0.0246754,1.79769e+308
ARL5C,0,0.017877,1.79769e+308
CACNB1,2.47691,4.14731,0.743637
STAC2,0.0434095,1.94362,5.4846
FBXL20,1.16621,1.79387,0.621244
MED1,17.6841,14.4043,-0.295945
NEUROD2,0,0.00954991,1.79769e+308
PGAP3,4.5008,4.89947,0.122444
MIEN1,61.9065,63.3006,0.0321264
IKZF3,8.17709,7.64035,-0.09795
GSDMB,5.34764,10.0885,0.915738
ORMDL3,52.6164,74.6753,0.505118
MED24,18.8949,11.8225,-0.676461
NR1D1,6.06044,5.89151,-0.0407853
GJD3,0.417665,0.768984,0.880608
TOP2A,71.3656,75.5379,0.0819717
TNS4,0.0920739,0.349936,1.92623
CCR7,0,0.0135889,1.79769e+308
SMARCE1,50.8594,44.5751,-0.190276
KRT222,0,0.00875497,1.79769e+308
KRT24,0,0.0240119,1.79769e+308
KRT25,0,0,0
KRT26,0,0,0
KRT27,0,0.0190128,1.79769e+308
KRT28,0,0.0180076,1.79769e+308
KRT10,12.2907,15.1003,0.297012
KRT12,0.330239,1.92357,2.5422
KRT20,0.58943,5.56304,3.23848
KRT23,0,0.131521,1.79769e+308
KRT39,0.0789989,0.404102,2.35481
KRT40,3.634,10.0603,1.46904
KRTAP3-3,0.201617,2.1276,3.39954
KRTAP3-2,0.381809,3.78236,3.30836
KRTAP3-1,0,0.0329016,1.79769e+308
KRTAP1-5,0,0.191288,1.79769e+308
KRTAP1-3,0.0190003,0.412796,4.44134
KRTAP1-1,0,0.112891,1.79769e+308
KRTAP2-1,0,0.0580482,1.79769e+308
KRTAP2-2,0,0.0645698,1.79769e+308
LOC730755,0.0223975,1.14363,5.67414
KRTAP2-4,0,0.081984,1.79769e+308
KRTAP4-8,0,0,0
KRTAP4-11,0,0,0
KRTAP4-12,0,0.0152036,1.79769e+308
KRTAP4-6,0,0,0
KRTAP4-5,0,0,0
KRTAP4-4,0,0.0606113,1.79769e+308
KRTAP4-3,0,0,0
KRTAP4-2,0,0.0233253,1.79769e+308
KRTAP4-1,0.215824,0.559471,1.37421
KRTAP16-1,0.0327007,0.148611,2.18415
KRTAP17-1,0,0,0
KRT33A,0,0,0
KRT33B,0,0.00957322,1.79769e+308
KRT34,0,0.00888052,1.79769e+308
KRT31,0.0105829,0.00962054,-0.137551
KRT37,0,0,0
KRT38,0,0,0
KRT32,0,0.00746046,1.79769e+308
KRT35,0,0,0
KRT36,0.357951,0.548628,0.616066
KRT13,0.663144,0.789337,0.25132
KRT15,51.5562,53.5479,0.0546816
KRT19,0,0,0
LOC147093,0,0,0
KRT9,0,0.019369,1.79769e+308
KRT14,0.942743,1.45857,0.62962
KRT16,39.149,33.5224,-0.223851
KRT17,0.418981,0.781229,0.898859
KRT42P,0.0111345,0.0152211,0.451041
HAP1,0.591901,2.4679,2.05986
JUP,55.9333,52.9444,-0.0792306
LEPREL4,10.9845,9.7716,-0.168808
NT5C3L,26.9379,26.7884,-0.00802931
KLHL11,3.12129,2.21443,-0.495207
ACLY,212.073,141.567,-0.583079
DNAJC7,73.4947,55.5444,-0.404
ZNF385C,0.185656,0.676514,1.86549
DHX58,1.43512,2.66535,0.893151
KAT2A,47.2386,34.7889,-0.441339
RAB5C,62.9153,66.4358,0.0785489
KCNH4,0.773943,1.34629,0.798691
HCRT,0.190833,0.239567,0.328119
GHDC,23.4787,25.3401,0.110071
STAT5B,4.79618,6.00911,0.325266
STAT3,16.1093,26.6884,0.728317
PTRF,0.0864763,1.15529,3.73981
PSMC3IP,23.2047,15.8057,-0.553977
FAM134C,12.795,12.508,-0.0327297
PLEKHH3,17.3825,20.7228,0.253581
CCR10,0.577913,1.07445,0.894677
EZH1,13.2869,16.7642,0.335381
LOC100190938,0.105273,0.296543,1.4941
CCDC56,56.8062,54.5589,-0.0582319
BECN1,34.1247,38.6417,0.179344
LOC388387,0,0.0163637,1.79769e+308
AARSD1,42.4816,29.2202,-0.539869
VAT1,8.10383,33.0827,2.0294
BRCA1,18.1876,14.433,-0.333584
LOC100130581,0.301511,0.925853,1.61857
ETV4,21.8251,27.833,0.35081
MEOX1,0,0,0
SOST,0,0,0
DUSP3,4.21568,8.66165,1.03888
MPP3,0.624051,0.703118,0.172105
MPP2,0.208136,1.65098,2.98773
PPY,0,0.0979409,1.79769e+308
PYY,0,0.0156041,1.79769e+308
TMEM101,25.6792,25.3422,-0.0190606
LSM12,41.3634,30.7544,-0.427561
HDAC5,10.3953,14.9426,0.523495
C17orf65,8.39202,12.3266,0.554688
ATXN7L3,21.9409,23.9858,0.128558
UBTF,33.4432,19.7816,-0.757558
SLC4A1,0.00312733,0.00285359,-0.132152
SLC25A39,241.591,233.584,-0.0486256
FAM171A2,0.986646,3.84549,1.96256
ITGA2B,0.0378874,0.194305,2.35853
GPATCH8,15.0729,14.3815,-0.0677372
CCDC43,21.336,16.5237,-0.368753
GJC1,0.185916,0.671673,1.85311
EFTUD2,61.6468,49.2239,-0.324667
GFAP,0.020564,0.132138,2.68385
KIF18B,10.7782,7.64852,-0.494858
C1QL1,0.034045,1.40248,5.3644
DCAKD,9.831,10.5785,0.105722
PLCD3,2.18186,5.72746,1.39234
TEX34,0.0679493,0.197306,1.5379
MAP3K14,8.5457,10.7,0.324346
ARHGAP27,4.46308,4.53707,0.0237197
ARHGAP27,0.100166,0.20468,1.03097
"MIR4315-2,PLEKHM1",5.55578,6.86993,0.306308
LRRC37A4,11.6561,9.64162,-0.273742
LOC644172,0,0.0131052,1.79769e+308
MAPT-AS1,0,0,0
KANSL1,10.2215,9.39789,-0.121191
"ARL17A,ARL17B",5.7377,8.41265,0.552088
ARL17A,3.95803,6.22003,0.652141
WNT3,0.125213,0.248249,0.987401
RPRML,0.0328865,0.0596166,0.858219
CDC27,21.5317,19.5413,-0.139931
MRPL45P2,4.20253,3.6827,-0.190493
OSBPL7,5.04827,7.41683,0.555013
MRPL10,34.8526,36.6947,0.0743053
SCRN2,25.5099,29.9111,0.229621
SP6,0.0371884,0.316551,3.08951
PRR15L,0.161819,0.113051,-0.51741
COPZ2,5.65852,10.6494,0.912276
MIR152,0,0,0
CBX1,38.3986,46.3309,0.270924
SKAP1,2.26532,7.23021,1.67432
MIR1203,0,0,0
HOXB1,0,0,0
HOXB2,0.0210612,0.0957322,2.18441
HOXB3,0.108599,0.372364,1.7777
HOXB4,1.52574,2.22638,0.545196
MIR10A,0,0,0
HOXB5,0,0.0501173,1.79769e+308
HOXB6,0.0900671,1.20937,3.74711
HOXB7,1.26375,4.94636,1.96865
HOXB8,0.0546513,0.281736,2.36602
HOXB9,1.06749,2.60462,1.28685
MIR196A1,0,0,0
PRAC,0,0.133176,1.79769e+308
MIR3185,0,0,0
HOXB13,0.0836993,1.37326,4.03625
TTLL6,0,0.298413,1.79769e+308
SNF8,56.1966,64.5949,0.200936
GIP,0,0,0
GNGT2,0,0.125694,1.79769e+308
PHOSPHO1,0.0561137,2.29602,5.35464
ZNF652,3.60238,4.55231,0.337647
PHB,165.681,136.691,-0.277496
SPOP,30.2089,25.7653,-0.229541
SLC35B1,117.249,89.7704,-0.38526
FAM117A,10.7898,18.118,0.747758
TAC4,0.11844,0.141515,0.256808
DLX3,0.67882,2.41198,1.82912
LOC284080,0.00635255,0.0347227,2.45047
SAMD14,0.0089125,0.218937,4.61854
PPP1R9B,14.1247,21.806,0.626505
HILS1,0,0.0209058,1.79769e+308
COL1A1,0.37912,5.91328,3.96323
MRPL27,67.355,44.6089,-0.594455
LRRC59,204.424,146.68,-0.478892
CHAD,0.306324,0.548144,0.839497
LOC253962,0,0,0
ANKRD40,23.562,23.5244,-0.00230144
LINC00483,0.0178192,0,-1.79769e+308
TOB1,17.4338,18.8717,0.114342
SPAG9,17.6569,21.0409,0.252969
MBTD1,7.30187,9.1824,0.330607
CA10,0.0244054,0.019772,-0.303744
